 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
59,cells_unedited.png,788.772,355.972,173.585,0.324,1.635,0.611,0.861
60,cells_unedited.png,371.831,9.779,163.778,0.723,1.134,0.882,0.949
61,cells_unedited.png,502.776,418.130,170.209,0.546,1.738,0.575,0.923
62,cells_unedited.png,558.843,138.636,173.722,0.293,1.406,0.711,0.840
63,cells_unedited.png,666.959,166.536,174.257,0.534,1.068,0.936,0.904
64,cells_unedited.png,381.145,80.241,175.123,0.621,2.137,0.468,0.926
65,cells_unedited.png,858.171,278.673,179.570,0.547,1.677,0.596,0.909
66,cells_unedited.png,386.259,531.997,175.592,0.687,1.226,0.816,0.915
67,cells_unedited.png,429.907,214.655,179.693,0.536,1.349,0.741,0.889
68,cells_unedited.png,497.297,243.995,187.989,0.731,1.573,0.636,0.929
69,cells_unedited.png,308.825,590.414,186.660,0.452,1.401,0.714,0.866
70,cells_unedited.png,225.363,35.200,190.283,0.409,1.048,0.954,0.790
71,cells_unedited.png,212.397,20.564,189.612,0.778,1.266,0.790,0.944
72,cells_unedited.png,631.164,149.235,200.999,0.488,1.368,0.731,0.858
73,cells_unedited.png,683.030,175.699,203.269,0.481,1.164,0.859,0.875
74,cells_unedited.png,195.595,575.047,197.832,0.331,1.466,0.682,0.805
75,cells_unedited.png,523.413,100.871,205.301,0.628,1.659,0.603,0.914
76,cells_unedited.png,561.765,414.652,204.084,0.683,1.789,0.559,0.949
77,cells_unedited.png,517.204,239.054,212.221,0.745,1.731,0.578,0.944
78,cells_unedited.png,891.227,312.431,219.954,0.610,1.713,0.584,0.906
79,cells_unedited.png,301.702,34.442,207.485,0.591,1.697,0.589,0.885
80,cells_unedited.png,710.607,454.408,223.868,0.561,1.524,0.656,0.925
81,cells_unedited.png,420.228,609.674,223.033,0.714,1.160,0.862,0.922
82,cells_unedited.png,590.803,512.179,226.899,0.469,1.506,0.664,0.897
83,cells_unedited.png,553.364,165.223,229.842,0.747,1.169,0.855,0.936
84,cells_unedited.png,697.275,219.555,232.902,0.402,2.515,0.398,0.845
85,cells_unedited.png,642.852,24.954,225.254,0.553,2.195,0.456,0.931
86,cells_unedited.png,370.553,129.926,229.336,0.497,1.497,0.668,0.846
